trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
426,False,"{'a': 0.65, 'e': 0.20002709915598071}",35,11,-98.55759259600102,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 3}",1
427,False,"{'a': 0.65, 'e': 0.19950755328378955}",35,26,-26.54288820220195,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
428,False,"{'a': 0.65, 'e': 0.19898902119810868}",20,0,22.307978171209704,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
429,False,"{'a': 0.65, 'e': 0.19847150266502112}",20,0,-11.43774916697455,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
430,False,"{'a': 0.65, 'e': 0.1979549974408381}",20,2,-11.572908673795833,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
431,False,"{'a': 0.65, 'e': 0.1974395052721427}",25,3,-0.9593992675182426,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
432,False,"{'a': 0.65, 'e': 0.1969250258958316}",30,8,31.081412956841802,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
433,False,"{'a': 0.65, 'e': 0.19641155903915763}",30,13,16.398671903254446,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
434,False,"{'a': 0.65, 'e': 0.19589910441977232}",25,12,24.118875577806843,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
435,False,"{'a': 0.65, 'e': 0.19538766174576905}",20,0,16.166256083803923,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
436,False,"{'a': 0.65, 'e': 0.19487723071572505}",30,0,33.18907233984942,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
437,False,"{'a': 0.65, 'e': 0.19436781101874467}",25,12,11.700274157950137,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
438,False,"{'a': 0.65, 'e': 0.19385940233450183}",20,5,-21.538299174662527,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
439,False,"{'a': 0.65, 'e': 0.19335200433328337}",30,0,30.91387054461033,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
440,False,"{'a': 0.65, 'e': 0.19284561667603106}",30,17,-37.52823200825509,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 1}",1
